"","category","Name","Price","Ratings","No_Of_Reviews"
"1","Slides","adidas Unisex's Adilette Aqua Slide Sandal","£18.00","4.2 out of 5 stars","8,609"
"2","Slides","adidas Unisex's Adilette Shower Slides","£15.69","4.3 out of 5 stars","1,010"
"3","Slides","DOUUCO Cloud Sliders for Women and Men Pillow Sliders Super Soft Cozisliders Slippers Open Toe Original Sliders Shower Pool Summer Flip Flop Sandals House Slides for Indoor & Outdoor","£20.70","4.0 out of 5 stars","217"
"4","Slides","adidas Unisex's Adilette Aqua Slide Sandal","£7.49","4.5 out of 5 stars","29,227"
"5","Slides","Crocs Unisex's Classic Slide","£9.16","4.5 out of 5 stars","16,390"
"6","Slides","NIKE Women's Victori One Slipper","£16.00","4.3 out of 5 stars","14,495"
"7","Slides","Crocs Unisex Classic Sandal","£20.00","4.4 out of 5 stars","14,013"
"8","Slides","PUMA Unisex's Divecat V2 Slide Sandal","£22.49","4.4 out of 5 stars","8,710"
"9","Slides","Skechers Women's On-The-go 600-16259 Slide Sandal","£22.49","4.4 out of 5 stars","487"
"10","Slides","HSHAPAY House Slippers for Man And Women Beach Slides Non-Slip Lightweight Open-toe Shower Shoes Quick Drying Extra Thick Sandals","£25.41","4.4 out of 5 stars","2,119"
"11","Slides","adidas Unisex's Adilette Comfort Slides","£19.25","4.0 out of 5 stars","638"
"12","Slides","ERLINGO Ultra-Soft Pillow Slides Slippers Lightweight Thickened Quick-Drying Shower Shoes for Men Women Non-Slip Casual Home Pillow Slides Platform Slide Sandals for Indoor and Outdoor","£26.99","4.5 out of 5 stars","29,227"
"13","Slides","Crocs Unisex's Classic Slide","£16.20","4.5 out of 5 stars","504"
"14","Slides","adidas Unisex's Adilette Comfort 3-Stripes Slides Sandal","£40.50","4.1 out of 5 stars","165"
"15","Slides","RXLLDOLY Cloud Sliders Women Men Pillow Slides Slippers Non-Slip Pool Sliders Bathroom Sandals Super Soft Massage House Slides for Indoor & Outdoor","£46.80","4.3 out of 5 stars","6,501"
"16","Slides","SHAINE Cloud Sliders Women Men Cozisliders Original Sliders Slippers Pool Sliders Summer Flip Flop Shower Bathing Pillow Sliders Slipper","£9.67","4.0 out of 5 stars","904"
"17","Slides","Yinka Shoes Mens Stripe Sliders","£21.09","4.3 out of 5 stars","2,642"
"18","Slides","Leevar Cloud Slides for Women and Men - Soft, Comfy, Relax Cloud Slippers, Thick Sole, Non-slip Pillow Slippers, Easy to Clean, Shower, Swimming, Beach, Indoor and Outdoor Pillow Slides","£34.20","4.4 out of 5 stars","14,013"
"19","Slides","PUMA Unisex's Divecat V2 Slide Sandal","£17.99","4.4 out of 5 stars","4,008"
"20","Slides","Under Armour Mens Locker Slides Pool Shoes","£17.01","4.0 out of 5 stars","17"
"21","Slides","White Sports Stripe Slides Slip-on Sandals Water Resistant Splash Proof for Gym Shower Beach Pool UK","£22.49","4.3 out of 5 stars","1,595"
"22","Slides","Waysoland Women Men Beach Slippers Summer Sliders Sandals,EVA Open Toe Soft Slippers,Bathroom Pool Shower Anti-Slip Shoes Flip Flops for Indoor & Outdoor","£20.65","3.8 out of 5 stars","41"
"23","Slides","Keanu Chunky Cloud Sliders - Women Men Indoor/Outdoor Slides - Slippers Pool Sliders Summer Flip Flop Shower Bathing Pillow - UK Adult Sizes 3-12","£31.50","4.4 out of 5 stars","351"
"24","Slides","Under Armour Men's Ua M Locker Iv Sl Quick-Drying Sliders for Locker Room, Shower, Beach, Walking, Slip-On Pool Shoes Designed to Drain Water, Cushioned Comfort Men's Flip Flops","£3.99","4.5 out of 5 stars","443"
"25","Slides","Geweo Slippers Women Sliders Men Cloud Slippers Sliders Super Comfy Shark Sliders Slippers Non-Slip Bathroom Shower Slippers Cushioned Thick Sole Slides Unisex 3-10UK(36-45EU)","£4.99","4.1 out of 5 stars","843"
"26","Slides","Havaianas Unisex Adult's Slide Brasil Flip-Flops","£10.82","4.4 out of 5 stars","43,683"
"27","Slides","adidas Unisex's Adissage Slides Sandal","£9.16","4.3 out of 5 stars","14,495"
"28","Slides","Crocs Unisex Classic Sandal","£8.32","4.4 out of 5 stars","5,295"
"29","Slides","adidas Unisex's Adilette Aqua Slide Sandal","£9.99","4.6 out of 5 stars","5,696"
"30","Slides","Ben Sherman Jet Slide Mens Slip On Flip Flop Sliders Sandals BEN3201","£17.95","4.5 out of 5 stars","16,390"
"31","Slides","Crocs Unisex's Bayaband Slide Sandal","£14.40","4.3 out of 5 stars","37,031"
"32","Slides","NIKE Women's Victori One Slipper","£18.00","4.3 out of 5 stars","624"
"33","Slides","PUMA Unisex's Purecat Slide Sandal","£9.99","4.3 out of 5 stars","3,808"
"34","Slides","HOPEME Cloud Sliders Women Men Cushiony Slippers with Thick Outsole, Anti-Slip and Waterproof Pillow Sliders for Bathroom, Pool and Outdoor","£13.32","4.4 out of 5 stars","1,553"
"35","Slides","Crocs Women's Swiftwater W Flat Sandal","£34.99","3.6 out of 5 stars","28"
"36","Slides","adidas Unisex's Adicane Slides","£28.00","3.9 out of 5 stars","65"
"37","Slides","Ben Sherman Weston Slide Mens Slip On Flip Flop Sliders Sandals BS21202 Khaki","£40.00","4.1 out of 5 stars","1,447"
"38","Slides","Under Armour UA M Locker IV SL, Sandals Men's, Black/Black/White, 11 UK","£18.00","4.4 out of 5 stars","443"
"39","Slides","Leevar Platform Sandals for Women - Soft Memory Foam Padded Platform Wedges Sandals - Womens Backless Slip On Platform Slides - Comfy Square Open Toe Mules Nude Clear White Black Platform Sandals","£20.00","4.5 out of 5 stars","310"
"40","Slides","Crocs Unisex's Baya Ii Slides Clog","£19.99","4.3 out of 5 stars","2,498"
"41","Slides","JoWebb Unisex Slip On Slippers for Women/Men Non-Slip Light Weight Flat Slide Sandals Shower Sandals House Soft Flip Flop Shoes for Indoor Home Garden Bathroom Poolside","£25.46","4.2 out of 5 stars","30,890"
"42","Slides","adidas Men's Adilette Aqua 3-Stripes Slides Sandal","£11.99","4.4 out of 5 stars","1,991"
"43","Slides","adidas Originals Women's Adilette Lite W Slipper","£13.99","4.1 out of 5 stars","113"
"44","Slides","APIKA Women and Men Anti-Slip Slip-on Slippers Indoor Use Outdoor Use Bath Sandal Soft Foam Sole Pool Shoes House Home Slide, BlueNavy Blue, 6/7 UK","£14.44","4.3 out of 5 stars","93"
