"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"1","crocs unisex-adult classic cozzzy fuzzy sandals slide",NA,NA,NA,2023-12-08,4,"verified purchase"
"2","crocs unisex-adult classic cozzzy fuzzy sandals slide","extra","joanna langer","sehr kuschelig warm und bequem einfach top ",2023-11-25,5,"verified purchase"
"3","crocs unisex-adult classic cozzzy fuzzy sandals slide","muy cmodos","anna","tengo varios pares de crocs y estos son definitivamente los ms cmodos",2024-02-13,5,"verified purchase"
"4","crocs unisex-adult classic cozzzy fuzzy sandals slide","most comfortable with great support","anna","after my th ankle surgery any and every shoe has failed to give me comfort and supportbut how lucky was i to find this shoe that not only gives  comfort but allows room for the inevitable swelling as i heal warm and plush on the inside with a thick sole for added stabilityive worn many crocs before but these are created better than their predecessorso incredibly happy with my purchase and anyone would love this shoe for their everyday wear",2024-01-16,5,"verified purchase"
"5","crocs unisex-adult classic cozzzy fuzzy sandals slide",NA,"amazon customer",NA,2023-10-27,5,"verified purchase"
"6","crocs unisex-adult classic cozzzy fuzzy sandals slide","los recomiendo","amazon ","son como se anuncian  muy cmodos y bonitos",2023-08-14,5,"verified purchase"
"7","crocs unisex-adult classic cozzzy fuzzy sandals slide","very comfortable shoes","marey","i bought each of my daughters a pair of these for christmas i was sure about them when i ordered them i didnt know if they would like them they are in their early s when i received them i tried them on and fell in love with them i told my girls if they didnt like them that i would keep them and get them something else they absolutely loved them they are very comfortable and warm they have a thick enough bottom that you can wear them as a regular shoe or slippers in the house my feet get too hot with regular lined crocs so these are perfect for me being open toe so if course i bought myself a pair dont be thrown off by the looks they are very comfortable and come in a ton of different colors",2024-01-05,5,"verified purchase"
"8","crocs unisex-adult classic cozzzy fuzzy sandals slide","love them","gb","these fit so amazing i was a little scared they would feel loose but they are just perfect they dont feel like they will fall off when i am walking and they are so cozy to wear",2023-12-01,5,"verified purchase"
"9","crocs unisex-adult classic cozzzy fuzzy sandals slide","gemtliche warme hausschuhe","jadie","wie erwartet",2023-12-22,5,"verified purchase"
"10","crocs unisex-adult classic cozzzy fuzzy sandals slide","warm comfy and stable","anna","i wear these as slippers around the house and i have a pair for outdoors too they are comfy warm and because they are raised a slightly they give good stability and confidence",2023-09-21,5,"verified purchase"
"11","crocs unisex-adult classic cozzzy fuzzy sandals slide","cozy comfort and style","htran","i recently gifted my motherinlaw the crocs unisexadult classic cozzzy platform sandals and they have quickly become her goto footwear during the winter season she absolutely loves them and wears them every day praising their exceptional comfort and warmth these sandals have proven to be a great purchase that she truly adoresone of the standout features of these sandals is their ability to keep her feet nice and warm the cozzzy lining provides a cozy and snug feel making them perfect for chilly winter days despite their opentoe design the soft and plush material keeps her feet comfortably insulated allowing her to wear them for extended periods without any discomfortin addition to their remarkable comfort these crocs sandals also offer a more stylish look compared to the original croc shoes they feature a platform design that adds a fashionable touch making them versatile enough to be worn with various outfits whether shes running errands or spending a casual day out these sandals effortlessly blend comfort and styleoverall the crocs unisexadult classic cozzzy platform sandals have been a resounding success they have become my motherinlaws favorite winter footwear choice providing the perfect combination of warmth and comfort not only do they keep her feet cozy but their stylish design adds a trendy element to her everyday outfits this purchase has been truly loved and highly recommended for anyone seeking a cozy and stylish option for winter footwear",2023-06-25,4,"verified purchase"
"12","crocs unisex-adult classic cozzzy fuzzy sandals slide",NA,NA,NA,2023-09-09,5,"verified purchase"
"13","crocs unisex-adult classic cozzzy fuzzy sandals slide","muy cmodas","jazmin","cumplen con su funcin son comidas y calientitas",2024-01-23,5,"verified purchase"
"14","crocs unisex-adult classic cozzzy fuzzy sandals slide","sandalias crocs","diana",NA,2023-12-15,5,"verified purchase"
"15","crocs unisex-adult classic cozzzy fuzzy sandals slide",NA,"diana",NA,2023-08-13,5,"verified purchase"
"16","crocs unisex-adult classic cozzzy fuzzy sandals slide","great fit comfortably",NA,"these are great fitting crocs yes ive fallen into the croc trap it wasnt my intention but these have the comfortable  fluffy lining  and fit so well you can were theme inside and outside i love the fact their like a sandal  but make your foot slightly more incased there is a great chiice in colours and sizes and yes i would buy again",2023-01-08,5,"verified purchase"
"17","crocs unisex-adult classic cozzzy fuzzy sandals slide","crocs lined sandals","gn","i am a size  i ordered a size  upon recommendation and they were a bit too big i love the sandals so i just ordered a size  and they are perfect i love the shoes and believe they fit true to size",2023-11-17,5,"verified purchase"
"18","crocs unisex-adult classic cozzzy fuzzy sandals slide","super bequem und kuschlig","sherry lee","eine sehr schne trendige farbe dazu sticker zum festclipsen in die ffnungen schaut richtig toll aus und wertet den schuh auf eindeutige kaufempfehlung",2023-07-13,5,"verified purchase"
"19","crocs unisex-adult classic cozzzy fuzzy sandals slide","cozy my favorite new shoe","hotzenplotz","one thing about crocs is theyre going to do it for me everytime but these right here im in loveeeee these are the best crocs ive ever had i bought two pairs and a pair for my boyfriend theyre so comfortable and theyre very durable i wear them in the house and the other pair for quick store runs as they are so cute and stylish i get complimented on them all the time",2024-01-23,5,"verified purchase"
"20","crocs unisex-adult classic cozzzy fuzzy sandals slide","supe cozy","karter","i sized up in these crocs sandals as i find the lined styles slightly smaller in size i ordered a womens mens  when im usually a  and can wear them comfortably with socks and a bit of room i might have been able to get away with my usual size and no socks i saw some reviews saying theirs came without the crocs charm but mine have it the colour is lovely and theyre super cozy to wear in and our of the house",2024-02-03,5,"verified purchase"
"21","crocs unisex-adult classic cozzzy fuzzy sandals slide","very nice","karen c","love these and use them in the house as slippers the fur is soft and keep my feet warm they came with enough charms to fill each hole plus  extras the charms are inside a durable plastic reusable case that i can store other charms in the charms are a bit larger than anticipated but it adds to the charm pun intended lol after reading reviews about rubbing on the top of the floor i sized up problem solved they were nicely packaged and i appreciate that definitely recommend",2023-11-12,4,"verified purchase"
"22","crocs unisex-adult classic cozzzy fuzzy sandals slide","cmodos y chidos pero","jose enrique pelayo ruiz","cmo tal el producto est muy chido cmodos y de muy buena calidadsolo q la descripcin de medidas est rara ped  soy  en mx y llegaron en  por lo que tendr q devolver y comprar los  y ojal lleguen medida ",2024-01-04,5,"verified purchase"
"23","crocs unisex-adult classic cozzzy fuzzy sandals slide","warm und schn","m rukopf","sehr schne hausschuhepassen genau halten trotz offener zehen gut warm und man bekommt die bewhrte crocs qualittdie farbe gefllt mir sehr ich wrde das modell jederzeit wieder kaufen",2023-02-14,4,"verified purchase"
"24","crocs unisex-adult classic cozzzy fuzzy sandals slide",NA,NA,NA,2024-01-11,5,"verified purchase"
"25","crocs unisex-adult classic cozzzy fuzzy sandals slide","comfy","girlstuff","i injured my heel on a hike but these have a broad slightly platformed base with enough cushion and flex that i can walk and stand more comfortably without pain in themthis biackwhite marble look has s appeal and theyre very practical really cute with jeans simple slip dresses pajamas and casual or sports wear the price is fair i might get some coordinating jibbitz for fun  or another pairreviewers and crocs suggested i size up  i even measured my feet per their site instructions my normal size is  every indicator said   but these in  are a bit roomy for me so if i wear thin socks theyll be about right the liner is comfy in reducing rub but i think the sandal will last longer than the linerim probably a  or would be a  if they made half sizes my feet have high arches and theyre regular  just slightly narrow in widththey dont slide on hardwood or linoleum so the bottom tread is impressivesuper easy to get in and out ofthis pair i received is well made no frayed threads or or irregularitiesi like how theyre warm but breathableim expecting to wash them in mild dish liquid and warm water then towel and air dry before combing the liner when theyre dirty eventually i might remove the liner though i would miss itif i didnt have high arches were senior living in a wet climate recovering from an injury or worked in one of the fatiguing foot industries from travel to healthcare to kitchens  id consider crocs my foot injury has given me a serious appreciation for them i just wish they had arch support so i could wear them more theyre a recovery in and around the house slipper right now",2023-07-18,4,"verified purchase"
"26","crocs unisex-adult classic cozzzy fuzzy sandals slide","son sper cmodas","girlstuff","desde que llegaron no me las he quitado son muy suaves y cmodas",2023-02-07,4,"verified purchase"
"27","crocs unisex-adult classic cozzzy fuzzy sandals slide","super comfy","vernica garca","its so cute n warm i love them",2023-02-20,4,"verified purchase"
"28","crocs unisex-adult classic cozzzy fuzzy sandals slide","comfyyy","kar","love these crocs absolutely beautiful and comfy in summer your feet can get a little sweaty without socks but thats not a huge problem",2023-10-05,5,"verified purchase"
"29","crocs unisex-adult classic cozzzy fuzzy sandals slide","comfortable and stay on","mythicalkiddo","comfortable and stay on my feet wear them all day",2024-02-04,5,"verified purchase"
"30","crocs unisex-adult classic cozzzy fuzzy sandals slide","sin jibblitz","enigma","la verdad sper mal que le quiten los jibblitz antes de enviarlos los crocs me llegaron abiertos con su colgante por fuera y para acabar sin los jibblitz de crocs tan caractersticos de las sandals fuera de eso pues cumplen su funcin sper bien y sper cmodas",2023-11-28,5,"verified purchase"
"31","crocs unisex-adult classic cozzzy fuzzy sandals slide","very comfy","ann lokey","i have never had a pair of crocs until these i purchased a pair for my youngest daughter and she couldnt stop talking about how comfy they are so i bought myself a pair i told my oldest daughter about them  she bought a pair they fit great with or wo socks i wear mine as house shoes but my daughters wear them out of the house",2024-01-29,4,"verified purchase"
"32","crocs unisex-adult classic cozzzy fuzzy sandals slide",NA,"amazon ",NA,2023-03-15,5,"verified purchase"
"33","crocs unisex-adult classic cozzzy fuzzy sandals slide","they are so comfortable","ana","my daughter in law love them",2024-01-07,5,"verified purchase"
"34","crocs unisex-adult classic cozzzy fuzzy sandals slide","super comfy","isobel","im actually considering getting another pair to wear out i bought these to wear around the house and all i can say is wow theyve even helped with my posture when walking i dont like the normal crocs at all but when i saw these i needed to try them because they dont look like crocs but theyre so bloomin comfortable definitely recommend",2023-03-11,5,"verified purchase"
"35","crocs unisex-adult classic cozzzy fuzzy sandals slide",NA,NA,NA,2023-02-15,5,"verified purchase"
"36","crocs unisex-adult classic cozzzy fuzzy sandals slide","exactly what we expected","alana","found this shoe in store but not in my size so i went to he croc site to compare pricing with said store i originally found it and amazon and amazon won by price point the product was the exact same as in store it even came in a day early",2024-01-10,5,"verified purchase"
"37","crocs unisex-adult classic cozzzy fuzzy sandals slide","comfortable","jacqueline","very comfy but missing crocs logo charm which considering the price seems ridiculous",2023-08-14,5,"verified purchase"
"38","crocs unisex-adult classic cozzzy fuzzy sandals slide","zu klein","i h","die  gre fr den mann gekauft fr die  gre frauenfu war der schuh zu eng  die bestellung ging zurckfinger weg",2023-12-11,3,"verified purchase"
"39","crocs unisex-adult classic cozzzy fuzzy sandals slide","no viene el logotipo de crocs","edgar leyva valdes","son diferentes a la foto de la pgina",2023-11-28,1,"verified purchase"
"40","crocs unisex-adult classic cozzzy fuzzy sandals slide","great house shoes","edgar leyva valdes","i got these specifically to use as house shoes because my last house shoes were so flat my feet would hurt after standing too long havent had the same issue here and now that its winter its been nice having the extra fuzziness to keep my feet warm theyre fun to personalize like all crocs are and though i still think theyre not the prettiest everyone knows what theyre getting into when it comes to this brand lol",2024-01-17,2,"verified purchase"
"41","crocs unisex-adult classic cozzzy fuzzy sandals slide","so comfortable","soggysister","perfect fit  out of the box comfort for my sore feetupdate  these crocs feel so nice that ive ordered a second pair one to use as house slippers and the other to wear everywhere else  its the first time in years that my feet dont hurt at the end of the day",2024-01-27,4,"verified purchase"
"42","crocs unisex-adult classic cozzzy fuzzy sandals slide","good","george",NA,2024-01-01,5,"verified purchase"
"43","crocs unisex-adult classic cozzzy fuzzy sandals slide","love these","elyse","i got these purple ones as a silly gift for someone the color is just like the picture and its beautiful i have my own matching pair in blue and i wear them all the time theyre pretty sturdy to wear outside and fairly warm for the winter i slip these on to walk to the gym even if its cold outside id recommend wearing them with socks just to keep the fluff cleaner the fluffiness has obviously flattened a bit with use but nothing a brush cant fix",2024-01-08,4,"verified purchase"
