"","title","author","subject","abstract","date"
"1","self-consistency training for hamiltonian prediction","he zhang, chang liu, zun wang, xinran wei, siyuan liu, nanning zheng, bin shao, tie-yan liu","machine learning","hamiltonian prediction is a versatile formulation to leverage machine learning for solving molecular science problems. yet, its applicability is limited by insufficient labeled data for training. in this work, we highlight that hamiltonian prediction possesses a self-consistency principle, based on which we propose an exact training method that does not require labeled data. this merit addresses the data scarcity difficulty, and distinguishes the task from other property prediction formulations with unique benefits: (1) self-consistency training enables the model to be trained on a large amount of unlabeled data, hence substantially enhances generalization; (2) self-consistency training is more efficient than labeling data with dft for supervised training, since it is an amortization of dft calculation over a set of molecular structures. we empirically demonstrate the better generalization in data-scarce and out-of-distribution scenarios, and the better efficiency from the amortization. these benefits push forward the applicability of hamiltonian prediction to an ever larger scale.",2024-03-14
"2","outlier robust multivariate polynomial regression","vipul arora, arnab bhattacharyya, mathews boban, venkatesan guruswami, esty kelman","data structures and algorithms","we study the problem of robust multivariate polynomial regression: let $p\colon\mathbb{r}^n\to\mathbb{r}$ be an unknown $n$-variate polynomial of degree at most $d$ in each variable. we are given as input a set of random samples $(\mathbf{x}_i,y_i) \in [-1,1]^n \times \mathbb{r}$ that are noisy versions of $(\mathbf{x}_i,p(\mathbf{x}_i))$. more precisely, each $\mathbf{x}_i$ is sampled independently from some distribution $\chi$ on $[-1,1]^n$, and for each $i$ independently, $y_i$ is arbitrary (i.e., an outlier) with probability at most $\rho < 1/2$, and otherwise satisfies $|y_i-p(\mathbf{x}_i)|\leq\sigma$. the goal is to output a polynomial $\hat{p}$, of degree at most $d$ in each variable, within an $\ell_\infty$-distance of at most $o(\sigma)$ from $p$. kane, karmalkar, and price [focs'17] solved this problem for $n=1$. we generalize their results to the $n$-variate setting, showing an algorithm that achieves a sample complexity of $o_n(d^n\log d)$, where the hidden constant depends on $n$, if $\chi$ is the $n$-dimensional chebyshev distribution. the sample complexity is $o_n(d^{2n}\log d)$, if the samples are drawn from the uniform distribution instead. the approximation error is guaranteed to be at most $o(\sigma)$, and the run-time depends on $\log(1/\sigma)$. in the setting where each $\mathbf{x}_i$ and $y_i$ are known up to $n$ bits of precision, the run-time's dependence on $n$ is linear. we also show that our sample complexities are optimal in terms of $d^n$. furthermore, we show that it is possible to have the run-time be independent of $1/\sigma$, at the cost of a higher sample complexity.",2024-03-14
"3","deep-learning-assisted optical communication with discretized state space of structural light","minyang zhang, dong-xu chen, pengxiang ruan, jun liu, jun-long zhao, chui-ping yang","optics","the rich structure of the transverse spatial mode of structural light has facilitated its applications in quantum information and optical communication. the laguerre-gaussian (lg) modes, with azimuthal and radial indexes, consist of a complete orthogonal basis to describe the transverse spatial mode of light. the azimuthal index is often endowed with the orbital angular momentum (oam), a high dimensional degree of freedom. the advent of oam in optical science marks a pivotal advancement, surpassing traditional optical techniques in light manipulation for advanced data encoding and signal transmission. here, we present a scheme that utilizes the advanced deep learning technique for lg modes recognition. by discretizing the state space of the lg modes, a neural network model is trained to classify the given samples. a proof-of-principle experiment is performed to show that our scheme requires less samples for model training, while increasing the channel capacity within limited oam number. we further apply our scheme to an image transmission task, demonstrating the ability to encode large data with low oam number. our work opens a new avenue for high capacity optical communication based on structural light.",2024-03-14
"4","a simple reconstruction method to infer nonreciprocal interactions and local driving in complex systems","tim hempel, sarah a. m. loos","statistical mechanics","data-based inference of directed interactions in complex dynamical systems is a problem common to many disciplines of science. in this work, we study networks of spatially separate dynamical entities, which could represent physical systems that interact with each other by reciprocal or nonreciprocal, instantaneous or time-delayed interactions. we present a simple approach that combines markov state models with directed information-theoretical measures for causal inference that can accurately infer the underlying interactions from noisy time series of the dynamical system states alone. remarkably, this is possible despite the built-in simplification of a markov assumption and the choice of a very coarse discretization at the level of probability estimation. our test systems are an ising chain with nonreciprocal coupling imposed by local driving of a single spin, and a system of delay-coupled linear stochastic processes. stepping away from physical systems, the approach infers cause-effect relationships, or more generally, the direction of mutual or one-way influence. the presented method is agnostic to the number of interacting entities and details of the dynamics, so that it is widely applicable to problems in various fields.",2024-03-14
"5","efficient size-prescribed $k$-core search","yiping liu, bo yan, bo zhao, hongyi su, yang chen, michael witbrock","data structures and algorithms","$k$-core is a subgraph where every node has at least $k$ neighbors within the subgraph. the $k$-core subgraphs has been employed in large platforms like network repository to comprehend the underlying structures and dynamics of the network. existing studies have primarily focused on finding $k$-core groups without considering their size, despite the relevance of solution sizes in many real-world scenarios. this paper addresses this gap by introducing the size-prescribed $k$-core search (spcs) problem, where the goal is to find a subgraph of a specified size that has the highest possible core number. we propose two algorithms, namely the {\it tsizekcore-bu} and the {\it tsizekcore-td}, to identify cohesive subgraphs that satisfy both the $k$-core requirement and the size constraint. our experimental results demonstrate the superiority of our approach in terms of solution quality and efficiency. the {\it tsizekcore-bu} algorithm proves to be highly efficient in finding size-prescribed $k$-core subgraphs on large datasets, making it a favorable choice for such scenarios. on the other hand, the {\it tsizekcore-td} algorithm is better suited for small datasets where running time is less critical.",2024-03-14
"6","uncovering the invisible: a study of gaia18ajz, a candidate black hole revealed by microlensing","k. howil, ł. wyrzykowski, k. kruszyńska, p. zieliński, e. bechelet, m. gromadzki, m. jabłońska, z. kaczmarek, p. mróz, m. ratajczak, k. rybicki, p. j. mikołajczyk, s. t. hodgkin, j.m. carrasco, u. burgaz, v. godunova, a. simon, f. cusano, m. jelinek, j. štrobl, o. erece, f. olivares, m. morell","astrophysics of galaxies","identifying black holes is essential for comprehending the development of stars and uncovering novel principles of physics. gravitational microlensing provides an exceptional opportunity to examine an undetectable population of black holes in the milky way. in particular, long-lasting events are likely to be associated with massive lenses, including black holes. we present an analysis of the gaia18ajz microlensing event, reported by the gaia science alerts system, which has exhibited a long timescale and features indicative of the annual microlensing parallax effect. our objective is to estimate the parameters of the lens based on the best-fitting model. we utilized photometric data obtained from the gaia satellite and terrestrial observatories to investigate a variety of microlensing models and calculate the most probable mass and distance to the lens, taking into consideration a galactic model as a prior. subsequently, we applied a mass-brightness relation to evaluate the likelihood that the lens is a main sequence star. we also describe darklenscode, an open-source routine which computes the distribution of probable lens mass, distance and luminosity employing the galaxy priors on stellar density and velocity for microlensing events with detected microlensing parallax. we modelled gaia18ajz event and found its two possible models with most likely einstein timescale of $t_\mathrm{e}=316^{+36}_{-30}$ days and $t_\mathrm{e}=299^{+25}_{-22}$ days. applying galaxy priors for stellar density and motion, we calculated the most probable lens mass of $m_l = 5.6^{+7.5}_{-2.5} m_\odot$ located at $d_s = 1.05^{+0.78}_{-0.60}\,\text{kpc}$ or $m_l = 12.0^{+14.9}_{-5.4} m_\odot$ located at $d_s = 1.18^{+0.82}_{-0.63}\,\text{kpc}$. our analysis of the blended light suggests that the lens is likely a dark remnant of stellar evolution, rather than a main sequence star.",2024-03-13
"7","approximating small sparse cuts","aditya anand, euiwoong lee, jason li, thatchaphol saranurak","data structures and algorithms","we study polynomial-time approximation algorithms for (edge/vertex) sparsest cut and small set expansion in terms of $k$, the number of edges or vertices cut in the optimal solution. our main results are $\mathcal{o}(\text{polylog}\, k)$-approximation algorithms for various versions in this setting. our techniques involve an extension of the notion of sample sets (feige and mahdian stoc'06), originally developed for small balanced cuts, to sparse cuts in general. we then show how to combine this notion of sample sets with two algorithms, one based on an existing framework of lp rounding and another new algorithm based on the cut-matching game, to get such approximation algorithms. our cut-matching game algorithm can be viewed as a local version of the cut-matching game by khandekar, khot, orecchia and vishnoi and certifies an expansion of every vertex set of size $s$ in $\mathcal{o}(\log s)$ rounds. these techniques may be of independent interest. as corollaries of our results, we also obtain an $\mathcal{o}(\log opt)$-approximation for min-max graph partitioning, where $opt$ is the min-max value of the optimal cut, and improve the bound on the size of multicut mimicking networks computable in polynomial time.",2024-03-13
"8","designing a data science simulation with merits: a primer","corrine f elliott, james duncan, tiffany m tang, merle behr, karl kumbier, bin yu","computation","simulations play a crucial role in the modern scientific process. yet despite (or due to) their ubiquity, the data science community shares neither a comprehensive definition for a ""high-quality"" study nor a consolidated guide to designing one. inspired by the predictability-computability-stability (pcs) framework for 'veridical' data science, we propose six merits that a data science simulation should satisfy. modularity and efficiency support the computability of a study, encouraging clean and flexible implementation. realism and stability address the conceptualization of the research problem: how well does a study predict reality, such that its conclusions generalize to new data/contexts? finally, intuitiveness and transparency encourage good communication and trustworthiness of study design and results. drawing an analogy between simulation and cooking, we moreover offer (a) a conceptual framework for thinking about the anatomy of a simulation 'recipe'; (b) a baker's dozen in guidelines to aid the data science practitioner in designing one; and (c) a case study deconstructing a simulation through the lens of our framework to demonstrate its practical utility. by contributing this ""pcs primer"" for high-quality data science simulation, we seek to distill and enrich the best practices of simulation across disciplines into a cohesive recipe for trustworthy, veridical data science.",2024-03-13
"9","deep learning based dynamics identification and linearization of orbital problems using koopman theory","george nehma, madhur tiwari, manasvi lingam","mathematical physics","the study of the two-body and circular restricted three-body problems in the field of aerospace engineering and sciences is deeply important because they help describe the motion of both celestial and artificial satellites. with the growing demand for satellites and satellite formation flying, fast and efficient control of these systems is becoming ever more important. global linearization of these systems allows engineers to employ methods of control in order to achieve these desired results. we propose a data-driven framework for simultaneous system identification and global linearization of both the two-body problem and circular restricted three-body problem via deep learning-based koopman theory, i.e., a framework that can identify the underlying dynamics and globally linearize it into a linear time-invariant (lti) system. the linear koopman operator is discovered through purely data-driven training of a deep neural network with a custom architecture. this paper displays the ability of the koopman operator to generalize to various other two-body systems without the need for retraining. we also demonstrate the capability of the same architecture to be utilized to accurately learn a koopman operator that approximates the circular restricted three-body problem.",2024-03-13
"10","two-sided assortment optimization: adaptivity gaps and approximation algorithms","omar el housni, alfredo torrico, ulysse hennebelle","optimization and control","to address the challenge of choice congestion in matching markets, in this work, we introduce a two-sided assortment optimization framework under general choice preferences. the goal in this problem is to maximize the expected number of matches by deciding which assortments are displayed to the agents and the order in which they are shown. in this context, we identify several classes of policies that platforms can use in their design. our goals are: (1) to measure the value that one class of policies has over another one, and (2) to approximately solve the optimization problem itself for a given class. for (1), we define the adaptivity gap as the worst-case ratio between the optimal values of two different policy classes. first, we show that the gap between the class of policies that statically show assortments to one-side first and the class of policies that adaptively show assortments to one-side first is exactly $1-1/e$. second, we show that the gap between the latter class of policies and the fully adaptive class of policies that show assortments to agents one by one is exactly $1/2$. we also note that the worst policies are those who simultaneously show assortments to all the agents, in fact, we show that their adaptivity gap even with respect to one-sided static policies can be arbitrarily small. for (2), we first show that there exists a polynomial time policy that achieves a $1/4$ approximation factor within the class of policies that adaptively show assortments to agents one by one. finally, when agents' preferences are governed by multinomial-logit models, we show that a 0.066 approximation factor can be obtained within the class of policies that show assortments to all agents at once.",2024-03-13
