"","title","author","subject","abstract","meta"
"1","Self-Consistency Training for Hamiltonian Prediction","He Zhang, Chang Liu, Zun Wang, Xinran Wei, Siyuan Liu, Nanning Zheng, Bin Shao, Tie-Yan Liu","Machine Learning (cs.LG)","Hamiltonian prediction is a versatile formulation to leverage machine learning for solving molecular science problems. Yet, its applicability is limited by insufficient labeled data for training. In this work, we highlight that Hamiltonian prediction possesses a self-consistency principle, based on which we propose an exact training method that does not require labeled data. This merit addresses the data scarcity difficulty, and distinguishes the task from other property prediction formulations with unique benefits: (1) self-consistency training enables the model to be trained on a large amount of unlabeled data, hence substantially enhances generalization; (2) self-consistency training is more efficient than labeling data with DFT for supervised training, since it is an amortization of DFT calculation over a set of molecular structures. We empirically demonstrate the better generalization in data-scarce and out-of-distribution scenarios, and the better efficiency from the amortization. These benefits push forward the applicability of Hamiltonian prediction to an ever larger scale.","Thu, 14 Mar 2024 16:52:57 UTC (381 KB)"
"2","Outlier Robust Multivariate Polynomial Regression","Vipul Arora, Arnab Bhattacharyya, Mathews Boban, Venkatesan Guruswami, Esty Kelman","Data Structures and Algorithms (cs.DS)","We study the problem of robust multivariate polynomial regression: let $p\colon\mathbb{R}^n\to\mathbb{R}$ be an unknown $n$-variate polynomial of degree at most $d$ in each variable. We are given as input a set of random samples $(\mathbf{x}_i,y_i) \in [-1,1]^n \times \mathbb{R}$ that are noisy versions of $(\mathbf{x}_i,p(\mathbf{x}_i))$. More precisely, each $\mathbf{x}_i$ is sampled independently from some distribution $\chi$ on $[-1,1]^n$, and for each $i$ independently, $y_i$ is arbitrary (i.e., an outlier) with probability at most $\rho < 1/2$, and otherwise satisfies $|y_i-p(\mathbf{x}_i)|\leq\sigma$. The goal is to output a polynomial $\hat{p}$, of degree at most $d$ in each variable, within an $\ell_\infty$-distance of at most $O(\sigma)$ from $p$. Kane, Karmalkar, and Price [FOCS'17] solved this problem for $n=1$. We generalize their results to the $n$-variate setting, showing an algorithm that achieves a sample complexity of $O_n(d^n\log d)$, where the hidden constant depends on $n$, if $\chi$ is the $n$-dimensional Chebyshev distribution. The sample complexity is $O_n(d^{2n}\log d)$, if the samples are drawn from the uniform distribution instead. The approximation error is guaranteed to be at most $O(\sigma)$, and the run-time depends on $\log(1/\sigma)$. In the setting where each $\mathbf{x}_i$ and $y_i$ are known up to $N$ bits of precision, the run-time's dependence on $N$ is linear. We also show that our sample complexities are optimal in terms of $d^n$. Furthermore, we show that it is possible to have the run-time be independent of $1/\sigma$, at the cost of a higher sample complexity.","Thu, 14 Mar 2024 15:04:45 UTC (105 KB)"
"3","Deep-learning-assisted optical communication with discretized state space of structural light","Minyang Zhang, Dong-Xu Chen, Pengxiang Ruan, Jun Liu, Jun-Long Zhao, Chui-Ping Yang","Optics (physics.optics)","The rich structure of the transverse spatial mode of structural light has facilitated its applications in quantum information and optical communication. The Laguerre-Gaussian (LG) modes, with azimuthal and radial indexes, consist of a complete orthogonal basis to describe the transverse spatial mode of light. The azimuthal index is often endowed with the orbital angular momentum (OAM), a high dimensional degree of freedom. The advent of OAM in optical science marks a pivotal advancement, surpassing traditional optical techniques in light manipulation for advanced data encoding and signal transmission. Here, we present a scheme that utilizes the advanced deep learning technique for LG modes recognition. By discretizing the state space of the LG modes, a neural network model is trained to classify the given samples. A proof-of-principle experiment is performed to show that our scheme requires less samples for model training, while increasing the channel capacity within limited OAM number. We further apply our scheme to an image transmission task, demonstrating the ability to encode large data with low OAM number. Our work opens a new avenue for high capacity optical communication based on structural light.","Thu, 14 Mar 2024 15:03:09 UTC (1,321 KB)"
"4","A simple reconstruction method to infer nonreciprocal interactions and local driving in complex systems","Tim Hempel, Sarah A. M. Loos","Statistical Mechanics (cond-mat.stat-mech)","Data-based inference of directed interactions in complex dynamical systems is a problem common to many disciplines of science. In this work, we study networks of spatially separate dynamical entities, which could represent physical systems that interact with each other by reciprocal or nonreciprocal, instantaneous or time-delayed interactions. We present a simple approach that combines Markov state models with directed information-theoretical measures for causal inference that can accurately infer the underlying interactions from noisy time series of the dynamical system states alone. Remarkably, this is possible despite the built-in simplification of a Markov assumption and the choice of a very coarse discretization at the level of probability estimation. Our test systems are an Ising chain with nonreciprocal coupling imposed by local driving of a single spin, and a system of delay-coupled linear stochastic processes. Stepping away from physical systems, the approach infers cause-effect relationships, or more generally, the direction of mutual or one-way influence. The presented method is agnostic to the number of interacting entities and details of the dynamics, so that it is widely applicable to problems in various fields.","Thu, 14 Mar 2024 10:06:11 UTC (472 KB)"
"5","Efficient size-prescribed $k$-core search","Yiping Liu, Bo Yan, Bo Zhao, Hongyi Su, Yang Chen, Michael Witbrock","Data Structures and Algorithms (cs.DS)","$k$-core is a subgraph where every node has at least $k$ neighbors within the subgraph. The $k$-core subgraphs has been employed in large platforms like Network Repository to comprehend the underlying structures and dynamics of the network. Existing studies have primarily focused on finding $k$-core groups without considering their size, despite the relevance of solution sizes in many real-world scenarios. This paper addresses this gap by introducing the size-prescribed $k$-core search (SPCS) problem, where the goal is to find a subgraph of a specified size that has the highest possible core number. We propose two algorithms, namely the {\it TSizeKcore-BU} and the {\it TSizeKcore-TD}, to identify cohesive subgraphs that satisfy both the $k$-core requirement and the size constraint. Our experimental results demonstrate the superiority of our approach in terms of solution quality and efficiency. The {\it TSizeKcore-BU} algorithm proves to be highly efficient in finding size-prescribed $k$-core subgraphs on large datasets, making it a favorable choice for such scenarios. On the other hand, the {\it TSizeKcore-TD} algorithm is better suited for small datasets where running time is less critical.","Thu, 14 Mar 2024 09:28:26 UTC (699 KB)"
"6","Uncovering the Invisible: A Study of Gaia18ajz, a Candidate Black Hole Revealed by Microlensing","K. Howil, Ł. Wyrzykowski, K. Kruszyńska, P. Zieliński, E. Bechelet, M. Gromadzki, M. Jabłońska, Z. Kaczmarek, P. Mróz, M. Ratajczak, K. Rybicki, P. J. Mikołajczyk, S. T. Hodgkin, J.M. Carrasco, U. Burgaz, V. Godunova, A. Simon, F. Cusano, M. Jelinek, J. Štrobl, O. Erece, F. Olivares, M. Morell","Astrophysics of Galaxies (astro-ph.GA)","Identifying black holes is essential for comprehending the development of stars and uncovering novel principles of physics. Gravitational microlensing provides an exceptional opportunity to examine an undetectable population of black holes in the Milky Way. In particular, long-lasting events are likely to be associated with massive lenses, including black holes. We present an analysis of the Gaia18ajz microlensing event, reported by the Gaia Science Alerts system, which has exhibited a long timescale and features indicative of the annual microlensing parallax effect. Our objective is to estimate the parameters of the lens based on the best-fitting model. We utilized photometric data obtained from the Gaia satellite and terrestrial observatories to investigate a variety of microlensing models and calculate the most probable mass and distance to the lens, taking into consideration a Galactic model as a prior. Subsequently, we applied a mass-brightness relation to evaluate the likelihood that the lens is a main sequence star. We also describe DarkLensCode, an open-source routine which computes the distribution of probable lens mass, distance and luminosity employing the Galaxy priors on stellar density and velocity for microlensing events with detected microlensing parallax. We modelled Gaia18ajz event and found its two possible models with most likely Einstein timescale of $t_\mathrm{E}=316^{+36}_{-30}$ days and $t_\mathrm{E}=299^{+25}_{-22}$ days. Applying Galaxy priors for stellar density and motion, we calculated the most probable lens mass of $M_L = 5.6^{+7.5}_{-2.5} M_\odot$ located at $D_S = 1.05^{+0.78}_{-0.60}\,\text{kpc}$ or $M_L = 12.0^{+14.9}_{-5.4} M_\odot$ located at $D_S = 1.18^{+0.82}_{-0.63}\,\text{kpc}$. Our analysis of the blended light suggests that the lens is likely a dark remnant of stellar evolution, rather than a main sequence star.","Wed, 13 Mar 2024 23:58:52 UTC (7,993 KB)"
"7","Approximating Small Sparse Cuts","Aditya Anand, Euiwoong Lee, Jason Li, Thatchaphol Saranurak","Data Structures and Algorithms (cs.DS)","We study polynomial-time approximation algorithms for (edge/vertex) Sparsest Cut and Small Set Expansion in terms of $k$, the number of edges or vertices cut in the optimal solution. Our main results are $\mathcal{O}(\text{polylog}\, k)$-approximation algorithms for various versions in this setting. Our techniques involve an extension of the notion of sample sets (Feige and Mahdian STOC'06), originally developed for small balanced cuts, to sparse cuts in general. We then show how to combine this notion of sample sets with two algorithms, one based on an existing framework of LP rounding and another new algorithm based on the cut-matching game, to get such approximation algorithms. Our cut-matching game algorithm can be viewed as a local version of the cut-matching game by Khandekar, Khot, Orecchia and Vishnoi and certifies an expansion of every vertex set of size $s$ in $\mathcal{O}(\log s)$ rounds. These techniques may be of independent interest. As corollaries of our results, we also obtain an $\mathcal{O}(\log opt)$-approximation for min-max graph partitioning, where $opt$ is the min-max value of the optimal cut, and improve the bound on the size of multicut mimicking networks computable in polynomial time.","Wed, 13 Mar 2024 22:14:14 UTC (66 KB)"
"8","Designing a Data Science simulation with MERITS: A Primer","Corrine F Elliott, James Duncan, Tiffany M Tang, Merle Behr, Karl Kumbier, Bin Yu","Computation (stat.CO)","Simulations play a crucial role in the modern scientific process. Yet despite (or due to) their ubiquity, the Data Science community shares neither a comprehensive definition for a ""high-quality"" study nor a consolidated guide to designing one. Inspired by the Predictability-Computability-Stability (PCS) framework for 'veridical' Data Science, we propose six MERITS that a Data Science simulation should satisfy. Modularity and Efficiency support the Computability of a study, encouraging clean and flexible implementation. Realism and Stability address the conceptualization of the research problem: How well does a study Predict reality, such that its conclusions generalize to new data/contexts? Finally, Intuitiveness and Transparency encourage good communication and trustworthiness of study design and results. Drawing an analogy between simulation and cooking, we moreover offer (a) a conceptual framework for thinking about the anatomy of a simulation 'recipe'; (b) a baker's dozen in guidelines to aid the Data Science practitioner in designing one; and (c) a case study deconstructing a simulation through the lens of our framework to demonstrate its practical utility. By contributing this ""PCS primer"" for high-quality Data Science simulation, we seek to distill and enrich the best practices of simulation across disciplines into a cohesive recipe for trustworthy, veridical Data Science.","Wed, 13 Mar 2024 21:32:14 UTC (595 KB)"
"9","Deep Learning Based Dynamics Identification and Linearization of Orbital Problems using Koopman Theory","George Nehma, Madhur Tiwari, Manasvi Lingam","Mathematical Physics (math-ph)","The study of the Two-Body and Circular Restricted Three-Body Problems in the field of aerospace engineering and sciences is deeply important because they help describe the motion of both celestial and artificial satellites. With the growing demand for satellites and satellite formation flying, fast and efficient control of these systems is becoming ever more important. Global linearization of these systems allows engineers to employ methods of control in order to achieve these desired results. We propose a data-driven framework for simultaneous system identification and global linearization of both the Two-Body Problem and Circular Restricted Three-Body Problem via deep learning-based Koopman Theory, i.e., a framework that can identify the underlying dynamics and globally linearize it into a linear time-invariant (LTI) system. The linear Koopman operator is discovered through purely data-driven training of a Deep Neural Network with a custom architecture. This paper displays the ability of the Koopman operator to generalize to various other Two-Body systems without the need for retraining. We also demonstrate the capability of the same architecture to be utilized to accurately learn a Koopman operator that approximates the Circular Restricted Three-Body Problem.","Wed, 13 Mar 2024 21:11:58 UTC (2,221 KB)"
"10","Two-sided Assortment Optimization: Adaptivity Gaps and Approximation Algorithms","Omar El Housni, Alfredo Torrico, Ulysse Hennebelle","Optimization and Control (math.OC)","To address the challenge of choice congestion in matching markets, in this work, we introduce a two-sided assortment optimization framework under general choice preferences. The goal in this problem is to maximize the expected number of matches by deciding which assortments are displayed to the agents and the order in which they are shown. In this context, we identify several classes of policies that platforms can use in their design. Our goals are: (1) to measure the value that one class of policies has over another one, and (2) to approximately solve the optimization problem itself for a given class. For (1), we define the adaptivity gap as the worst-case ratio between the optimal values of two different policy classes. First, we show that the gap between the class of policies that statically show assortments to one-side first and the class of policies that adaptively show assortments to one-side first is exactly $1-1/e$. Second, we show that the gap between the latter class of policies and the fully adaptive class of policies that show assortments to agents one by one is exactly $1/2$. We also note that the worst policies are those who simultaneously show assortments to all the agents, in fact, we show that their adaptivity gap even with respect to one-sided static policies can be arbitrarily small. For (2), we first show that there exists a polynomial time policy that achieves a $1/4$ approximation factor within the class of policies that adaptively show assortments to agents one by one. Finally, when agents' preferences are governed by multinomial-logit models, we show that a 0.066 approximation factor can be obtained within the class of policies that show assortments to all agents at once.","Wed, 13 Mar 2024 19:37:04 UTC (101 KB)"
