"","category","Name","Price","Ratings","No_Of_Reviews"
"1","Moisturizers","NIVEA Rich Nourishing Body Lotion (400ml), NIVEA Moisturiser for Dry Skin Made with Deep Moisture Serum, Natural Almond Oil, and Vitamin E, Smooth Skin NIVEA Body Lotion","£0.94","4.7 out of 5 stars","12,000"
"2","Moisturizers","NIVEA Soft Moisturising Cream (500ml), A Moisturising Cream Face, Body And Hands With Vitamin E And Jojoba Oil, Hand Cream Moisturises Deeply, All-Purpose Day Cream","£7.99","4.7 out of 5 stars","1,102"
"3","Moisturizers","E45 Daily Skin Lotion 400 ml – E45 Lotion for Very Dry Skin – Non-Greasy Lightweight Moisturiser - Perfume-Free Body Face Hand Cream - Dermatologically Tested","£5.10","4.6 out of 5 stars","164,272"
"4","Moisturizers","CeraVe Moisturising Cream for Dry to Very Dry Skin 454g with Hyaluronic Acid & 3 Essential Ceramides","£1.02","4.4 out of 5 stars","1,832"
"5","Moisturizers","The INKEY List Vitamin B, C and E Lightweight Daily Face Moisturiser to Keep Skin Healthy 50ml","£11.49","4.7 out of 5 stars","2,086"
"6","Moisturizers","Garnier Intensive 7 Days Aloe Vera Probiotic Extract Body Lotion Normal Skin, Fast Absorbing Non-Greasy Non-Sticky Nourishing Body Moisturiser 400 ml (Packing May Vary)","£4.00","4.4 out of 5 stars","31,724"
"7","Moisturizers","COSRX Advanced Snail 92 All in one Cream, 3.53 oz/100g | Moisturizing Snail Mucin Secretion Filtrate 92% | Facial Moisturiser, Long Lasting, Deep & Intense Hydration, Korean Skin Care","£1.00","4.6 out of 5 stars","31,940"
"8","Moisturizers","Weleda Skin Food Moisturiser for Dry and Rough Skin 75ml","£8.99","4.5 out of 5 stars","12,061"
"9","Moisturizers","Neutrogena Hydro Boost Water Gel Moisturiser, 50 ml (Pack of 1)","£16.15","4.6 out of 5 stars","43,729"
"10","Moisturizers","CeraVe Moisturising Lotion, with hyaluronic acid and 3 essential ceramides, Daily Face & Body Moisturiser for Dry to Very Dry Skin (Packaging may vary) 236 ml (Pack of 1)","£3.56","4.7 out of 5 stars","482"
"11","Moisturizers","NIVEA Express Hydration Body Lotion (400ml), Fast Absorbing NIVEA Moisturiser for Dry Skin Made with Deep Moisture Serum and Sea Minerals, Smooth Skin NIVEA Body Lotion","£18.72","4.7 out of 5 stars","3,680"
"12","Moisturizers","Neutrogena Norwegian Formula Deep Moisture Body Lotion Dry and Sensitive Skin, 400 ml","£7.50","4.7 out of 5 stars","8,098"
"13","Moisturizers","Weleda Skin Food Light Moisturiser for Dry Skin 75 ml","£15.00","4.7 out of 5 stars","4,881"
"14","Moisturizers","NIVEA Q10 Firming Rich Body Lotion with Vitamin C (400ml), NIVEA Moisturiser for Firmer Skin with Q10 and Vitamin C, NIVEA Body Lotion for Dry Skin","£7.99","4.6 out of 5 stars","10,248"
"15","Moisturizers","Moisturisers by Clinique Dramatically Different Moisturizing Lotion+ (Pump) for Very Dry to Dry Combination Skin / 4.2 fl.oz. 125ml","£3.00","4.4 out of 5 stars","1,983"
"16","Moisturizers","FREEDERM Clearing Oil-Free Face Moisturiser for Spot Prone Skin. Prevents Breakouts. With Niacinamide, 50 ml","£3.00","4.7 out of 5 stars","7,441"
"17","Moisturizers","Cetraben Body Cream Moisturiser Perfect For Dry Sensitive and Eczema Prone Skin, 475ml","£6.00","4.5 out of 5 stars","214"
"18","Moisturizers","First Aid Beauty Ultra Repair Cream Intense Hydration Moisturiser for Face and Body – Rich Whipped Texture Strengthens Skin Barrier + Instantly Relieves Dry, Distressed Skin – 170.1g","£14.70","4.5 out of 5 stars","882"
"19","Moisturizers","L'Oreal Paris Triple Active Day 24H Hydrating Moisturiser Normal to Combination Skin, 50 ml","£14.70","4.4 out of 5 stars","2,433"
"20","Moisturizers","Garnier Vitamin C Brightening Day Cream 50ml, Face Moisturiser to Nourish Skin, Smooth Lines & Boost Glow, With Vitamin C and Super Citrus For Radiant, Healthy Skin","£27.00","4.3 out of 5 stars","2,768"
"21","Moisturizers","Simple Protect 'N' Glow Triple Protect Moisturiser SPF 30 3x protection against UVA & UVB rays, blue light and pollution all-day hydrating face cream, 40 ml","£9.96","4.6 out of 5 stars","11,773"
"22","Moisturizers","L'Oreal Paris Hydra Genius Hyaluronic Acid Plus Aloe Liquid Hydrating Moisturiser, Rehydrating and Reinvigorating Face Serum for Normal to Combination Skin, White, 70 ml (Pack of 1)","£13.28","4.5 out of 5 stars","2,160"
"23","Moisturizers","Olay Regenerist Collagen Peptide 24 Day Cream Without Fragrance, Reveal Strong & Glowing Skin In 14 Days","£14.95","4.6 out of 5 stars","1,193"
"24","Moisturizers","ELEMIS Superfood Day Cream Pre-Biotic Day Cream to Replenish, Moisturise and Protect, Vitamin-Rich Face Cream for a Radiant and Fresh Glow, Lightweight Daily Face Moisturiser with Anti-Oxidants, 50 ml","£12.94","4.5 out of 5 stars","3,089"
"25","Moisturizers","Aveeno Face CALM+RESTORE Oat Gel Moisturiser, 24-Hour Hydration, For Sensitive Skin, With Prebiotic Oat and Calming Feverfew, Fragrance Free, 50ml","£25.88","4.5 out of 5 stars","82"
"26","Moisturizers","BULLDOG SKINCARE - Anytime Daily Moisturiser SPF 30 for Men | Protect & Hydrate Skin | 75 ml","£13.49","4.6 out of 5 stars","14,572"
"27","Moisturizers","L'Oreal Men Expert Anti-Fatigue Moisturiser, Hydra Energetic Mens Daily Moisturiser With Vitamin C: For Tired Looking Skin, Hydrates And Fights Against 5 Visible Signs Of Fatigue [50ml]","£3.75","4.6 out of 5 stars","13,208"
"28","Moisturizers","L'Oreal Men Expert Anti-Fatigue Moisturiser, Hydra Energetic Men's Moisturiser With Vitamin C*, Helps Fight Of Appearance of Dark Circles And Intensively Hydrates Skin, [100ml]","£375.00","4.5 out of 5 stars","2,173"
"29","Moisturizers","Olay Total Effects 7-In-1 Anti-Ageing Moisturiser With Spf15, Niacinamide, Vitamin C And E, 50 Ml","£7.99","4.6 out of 5 stars","1,478"
"30","Moisturizers","ManCave Natural Caffeine Moisturiser 100ml, Helps Reduce Signs of Fatigue, with UV Absorbers, Suitable for all Skin Types, Dermatologically Tested, Vegan, Made in England","£3.35","4.7 out of 5 stars","11,175"
